TUNING RESULTS OUTPUT,GA_Tuning_10_05_2022_23_25,,,,,,,,,,,,,,,,,,,,,,,,,,
Node Size,Src/Sink Size,Parallel Edges Size,Target Flow,OPTIMAL,,,,,,,,,,,,,,,,,,,,,,,
133,5,1,384,14050.08044,,,,,,,,,,,,,,,,,,,,,,,
Pop Size,Generations,Init Dist,Init Params,Selection,Tourny Size,Crossover,Replacement,Mutation,Nudge Params,Mutate Rate,Path Select,Path Tourny,Path Order,Path Rank,Path Size,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Avg Value,Opt Gap
30,20,gaussian,"[1.0, 0.3]",tournament,3,onePoint,replaceWeakestTwo,randomSingleEdge,"[0.0, 1.0]",0.25,N/A,N/A,N/A,N/A,N/A,14052.80916,14137.08311,14120.8874,14049.95689,14120.87695,14139.82435,14050.05857,14239.66308,14128.97886,14052.8086,14109.2947,0.421451388
30,20,gaussian,"[1.0, 0.3]",tournament,3,onePoint,replaceWeakestTwo,randomSingleEdge,"[0.0, 1.0]",0.5,N/A,N/A,N/A,N/A,N/A,14251.97543,14137.07258,14086.28718,14052.80876,14052.82658,14052.80927,14197.92327,14050.06063,14139.81221,14197.92667,14121.95026,0.511526032
30,20,gaussian,"[1.0, 0.3]",tournament,3,onePoint,replaceParents,randomSingleEdge,"[0.0, 1.0]",0.01,N/A,N/A,N/A,N/A,N/A,14137.10034,14127.12025,14231.42713,14050.08702,14236.82624,14137.10427,14137.10185,14180.81306,14086.29816,14086.32168,14141.02,0.64725295
30,20,gaussian,"[1.0, 0.3]",tournament,3,onePoint,replaceParents,randomSingleEdge,"[0.0, 1.0]",0.1,N/A,N/A,N/A,N/A,N/A,14242.56421,14128.98372,14225.13257,14052.81624,14139.83218,14139.82446,14137.07757,14127.10641,14050.07388,14222.38228,14146.57935,0.686821064
30,20,gaussian,"[1.0, 0.3]",tournament,3,onePoint,replaceParents,randomSingleEdge,"[0.0, 1.0]",0.25,N/A,N/A,N/A,N/A,N/A,14285.11094,14052.80327,14271.87592,14050.07244,14120.89053,14052.8357,14052.80888,14120.9005,14137.07229,14139.81593,14128.41864,0.557564075
30,20,gaussian,"[1.0, 0.3]",tournament,3,onePoint,replaceParents,randomSingleEdge,"[0.0, 1.0]",0.5,N/A,N/A,N/A,N/A,N/A,14250.48311,14052.75168,14052.80473,14242.5445,14126.22784,14197.92313,14120.88876,14052.81435,14218.47941,14207.88748,14152.2805,0.7273984
30,20,gaussian,"[1.0, 0.3]",tournament,5,onePoint,replaceWeakestTwo,randomSingleEdge,"[0.0, 1.0]",0.01,N/A,N/A,N/A,N/A,N/A,14050.08298,14302.77785,14129.00451,14139.81551,14050.08253,14160.58928,14126.24745,14052.81537,14191.88632,14052.80437,14125.61062,0.537578247
30,20,gaussian,"[1.0, 0.3]",tournament,5,onePoint,replaceWeakestTwo,randomSingleEdge,"[0.0, 1.0]",0.1,N/A,N/A,N/A,N/A,N/A,14218.49023,14050.04573,14086.29429,14299.40802,14086.28952,14083.5547,14189.15275,14083.57414,14285.27135,14129.01193,14151.10927,0.719062269
30,20,gaussian,"[1.0, 0.3]",tournament,5,onePoint,replaceWeakestTwo,randomSingleEdge,"[0.0, 1.0]",0.25,N/A,N/A,N/A,N/A,N/A,14120.86391,14052.81108,14139.82596,14302.75483,14247.72703,14139.81649,14154.37295,14180.80376,14389.36666,14052.80933,14178.1152,0.911274219
30,20,gaussian,"[1.0, 0.3]",tournament,5,onePoint,replaceWeakestTwo,randomSingleEdge,"[0.0, 1.0]",0.5,N/A,N/A,N/A,N/A,N/A,14137.07559,14209.96637,14191.88693,14050.06531,14052.80377,14052.78632,14052.80222,14294.2123,14355.5027,14137.06742,14153.41689,0.735486563
30,20,gaussian,"[1.0, 0.3]",tournament,5,onePoint,replaceParents,randomSingleEdge,"[0.0, 1.0]",0.01,N/A,N/A,N/A,N/A,N/A,14198.91124,14139.83118,14086.28541,14139.83874,14218.06795,14215.76435,14052.8228,14120.89004,14052.81099,14225.13862,14145.03613,0.675837352
30,20,gaussian,"[1.0, 0.3]",tournament,5,onePoint,replaceParents,randomSingleEdge,"[0.0, 1.0]",0.1,N/A,N/A,N/A,N/A,N/A,14050.0603,14139.82419,14050.05715,14305.5153,14086.30214,14050.08069,14086.29468,14284.94394,14215.7455,14086.31125,14135.51351,0.6080611
